ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-57845N|uniprotkb:Q76N32	DIP-31606N|uniprotkb:P63208	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25503564|pubmed:DIP-17600S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199522E	dip-quality-status:core	dip:0004(small scale)		-
DIP-39885N|refseq:NP_055700|uniprotkb:Q9UM13	DIP-56450N|uniprotkb:Q9UJX5	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199538E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56844N|uniprotkb:Q9H0U6	DIP-27559N|refseq:NP_000959|uniprotkb:P36578	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S|pubmed:25866880|pubmed:DIP-17654S|pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199547E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31507N|refseq:NP_001001|uniprotkb:P62753	DIP-56844N|uniprotkb:Q9H0U6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199554E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40839N|refseq:NP_006097|uniprotkb:P46937	DIP-50682N|uniprotkb:Q8IY63	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199562E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40839N|refseq:NP_006097|uniprotkb:P46937	DIP-31516N|refseq:NP_004681|uniprotkb:O95835	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199563E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56878N|uniprotkb:A6NKD9	DIP-40839N|refseq:NP_006097|uniprotkb:P46937	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199566E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	DIP-56475N|uniprotkb:O95721	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199574E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	DIP-52406N|uniprotkb:Q9BVG8	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199576E	dip-quality-status:core	dip:0004(small scale)		-
DIP-32975N|uniprotkb:O95831	DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199578E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61628N|uniprotkb:Q96JG6	DIP-44224N|refseq:NP_005810|uniprotkb:O43752	 -	-	-	-	MI:0096(pull down)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199583E	dip-quality-status:core	dip:0004(small scale)		-
DIP-35754N|refseq:NP_872319|uniprotkb:Q8NBT2	DIP-40642N|refseq:NP_003309|uniprotkb:P33981	 -	-	-	-	MI:0096(pull down)	-	pubmed:26068854|pubmed:DIP-17699S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199597E	dip-quality-status:core	dip:0004(small scale)		-
DIP-35753N|refseq:NP_065726|uniprotkb:Q9HBM1	DIP-40642N|refseq:NP_003309|uniprotkb:P33981	 -	-	-	-	MI:0096(pull down)	-	pubmed:26068854|pubmed:DIP-17699S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199598E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56224N|uniprotkb:Q99549	DIP-49051N|uniprotkb:Q8NEY8	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:26022416|pubmed:DIP-17700S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199603E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33098N|uniprotkb:P63010	DIP-29765N|refseq:NP_112270|uniprotkb:P18484	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:25061211|pubmed:DIP-17718S|pubmed:25061211|pubmed:DIP-17718S|pubmed:25061211|pubmed:DIP-17718S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199617E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-33098N|uniprotkb:P63010	DIP-37505N|refseq:NP_941015|uniprotkb:P62743	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:25061211|pubmed:DIP-17718S|pubmed:25061211|pubmed:DIP-17718S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199618E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-39353N|refseq:NP_002532|uniprotkb:Q02218	DIP-41874N|refseq:NP_005058|uniprotkb:O43255	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25438054|pubmed:DIP-17598S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199516E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41874N|refseq:NP_005058|uniprotkb:O43255	DIP-61552N|uniprotkb:Q9ULD0	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25438054|pubmed:DIP-17598S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199517E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31636N|refseq:NP_065921|uniprotkb:Q7Z6J0	DIP-41874N|refseq:NP_005058|uniprotkb:O43255	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25438054|pubmed:DIP-17598S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199518E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41874N|refseq:NP_005058|uniprotkb:O43255	DIP-43763N|refseq:NP_001092759|uniprotkb:Q8TEJ3	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25438054|pubmed:DIP-17598S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199519E	dip-quality-status:core	dip:0004(small scale)		-
DIP-27579N|uniprotkb:O95163	DIP-56235N|uniprotkb:Q6IA86	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25960406|pubmed:DIP-17605S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199523E	dip-quality-status:core	dip:0004(small scale)		-
DIP-53227N|uniprotkb:Q9H9T3	DIP-56235N|uniprotkb:Q6IA86	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25960406|pubmed:DIP-17605S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199524E	dip-quality-status:core	dip:0004(small scale)		-
DIP-52741N|uniprotkb:Q9NYG5	DIP-56450N|uniprotkb:Q9UJX5	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199536E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61021N|uniprotkb:P60006	DIP-56450N|uniprotkb:Q9UJX5	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199537E	dip-quality-status:core	dip:0004(small scale)		-
DIP-32957N|refseq:NP_037498|uniprotkb:Q9UJX6	DIP-56450N|uniprotkb:Q9UJX5	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199539E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56450N|uniprotkb:Q9UJX5	DIP-38700N|uniprotkb:Q9UM11	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199540E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56450N|uniprotkb:Q9UJX5	DIP-38023N|refseq:NP_036309|uniprotkb:Q9UKT4	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199541E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56450N|uniprotkb:Q9UJX5	DIP-39765N|refseq:NP_057322|uniprotkb:Q9UJX3	 -	-	-	-	MI:0096(pull down)	-	pubmed:26083744|pubmed:DIP-17631S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199542E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31245N|refseq:NP_001014|uniprotkb:P60866	DIP-56844N|uniprotkb:Q9H0U6	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199548E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31152N|refseq:NP_000960|uniprotkb:P46777	DIP-56844N|uniprotkb:Q9H0U6	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199549E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33177N|refseq:NP_000996|uniprotkb:P23396	DIP-56844N|uniprotkb:Q9H0U6	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199550E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31152N|refseq:NP_000960|uniprotkb:P46777	DIP-27559N|refseq:NP_000959|uniprotkb:P36578	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S|pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199551E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-31507N|refseq:NP_001001|uniprotkb:P62753	DIP-27559N|refseq:NP_000959|uniprotkb:P36578	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S|pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199552E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-31245N|refseq:NP_001014|uniprotkb:P60866	DIP-31507N|refseq:NP_001001|uniprotkb:P62753	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25866880|pubmed:DIP-17654S|pubmed:25866880|pubmed:DIP-17654S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199553E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-39973N|uniprotkb:Q13131	DIP-35196N|refseq:NP_003556|uniprotkb:O75385	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25686248|pubmed:DIP-17666S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199555E	dip-quality-status:core	dip:0004(small scale)		-
DIP-39736N|refseq:NP_006244|uniprotkb:Q9Y478	DIP-35196N|refseq:NP_003556|uniprotkb:O75385	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25686248|pubmed:DIP-17666S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199556E	dip-quality-status:core	dip:0004(small scale)		-
DIP-39974N|refseq:NP_002724|uniprotkb:P54619	DIP-35196N|refseq:NP_003556|uniprotkb:O75385	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25686248|pubmed:DIP-17666S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199557E	dip-quality-status:core	dip:0004(small scale)		-
DIP-35196N|refseq:NP_003556|uniprotkb:O75385	DIP-60653N|refseq:NP_001092143|uniprotkb:Q9BSB4	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25686248|pubmed:DIP-17666S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199559E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40839N|refseq:NP_006097|uniprotkb:P46937	DIP-38131N|uniprotkb:Q15678	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199561E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40839N|refseq:NP_006097|uniprotkb:P46937	DIP-57510N|uniprotkb:Q9Y2J4	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199564E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40839N|refseq:NP_006097|uniprotkb:P46937	DIP-42509N|refseq:NP_036610|uniprotkb:Q969T9	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199565E	dip-quality-status:core	dip:0004(small scale)		-
DIP-27566N|refseq:NP_003396|uniprotkb:Q04917	DIP-40839N|refseq:NP_006097|uniprotkb:P46937	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199567E	dip-quality-status:core	dip:0004(small scale)		-
DIP-50657N|uniprotkb:Q99594	DIP-40839N|refseq:NP_006097|uniprotkb:P46937	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199568E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38195N|refseq:NP_002699|uniprotkb:P62136	DIP-40839N|refseq:NP_006097|uniprotkb:P46937	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199569E	dip-quality-status:core	dip:0004(small scale)		-
DIP-43883N|uniprotkb:Q9NRM7	DIP-40839N|refseq:NP_006097|uniprotkb:P46937	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199570E	dip-quality-status:core	dip:0004(small scale)		-
DIP-39974N|refseq:NP_002724|uniprotkb:P54619	DIP-40839N|refseq:NP_006097|uniprotkb:P46937	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25751139|pubmed:DIP-17671S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199571E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	DIP-59352N|uniprotkb:Q5VIR6	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S|pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199572E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	DIP-61627N|uniprotkb:Q9P1Q0	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199573E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	DIP-2736N|uniprotkb:P02786	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199575E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60562N|refseq:NP_037397|uniprotkb:Q9UID3	DIP-34897N|refseq:NP_005564|uniprotkb:P20700	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199577E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59352N|uniprotkb:Q5VIR6	DIP-57843N|uniprotkb:Q8N1B4	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S|pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199582E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-61628N|uniprotkb:Q96JG6	DIP-57570N|uniprotkb:O14662	 -	-	-	-	MI:0096(pull down)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199584E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61628N|uniprotkb:Q96JG6	DIP-44223N|uniprotkb:Q96AJ9	 -	-	-	-	MI:0096(pull down)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199585E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44226N|refseq:NP_003753|uniprotkb:O75379	DIP-61628N|uniprotkb:Q96JG6	 -	-	-	-	MI:0096(pull down)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199586E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61628N|uniprotkb:Q96JG6	DIP-44225N|refseq:NP_803173|uniprotkb:Q86Y82	 -	-	-	-	MI:0096(pull down)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199587E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56422N|uniprotkb:Q15836	DIP-61628N|uniprotkb:Q96JG6	 -	-	-	-	MI:0096(pull down)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199588E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61627N|uniprotkb:Q9P1Q0	DIP-57843N|uniprotkb:Q8N1B4	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:25799061|pubmed:DIP-17674S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199589E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31380N|uniprotkb:Q14191	DIP-32589N|refseq:NP_003164|uniprotkb:O43463	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25931448|pubmed:DIP-17695S|pubmed:25931448|pubmed:DIP-17695S|pubmed:25931448|pubmed:DIP-17695S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199595E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31380N|uniprotkb:Q14191	DIP-43686N|uniprotkb:P42167	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:25931448|pubmed:DIP-17695S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199596E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56150N|uniprotkb:Q9UK61	DIP-29329N	 -	-	-	-	MI:0096(pull down)	-	pubmed:26022416|pubmed:DIP-17700S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0915(physical association)	MI:0465(dip)	DIP-199599E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56150N|uniprotkb:Q9UK61	DIP-31029N|uniprotkb:Q15047	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:26022416|pubmed:DIP-17700S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199600E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56224N|uniprotkb:Q99549	DIP-31029N|uniprotkb:Q15047	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:26022416|pubmed:DIP-17700S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199601E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56150N|uniprotkb:Q9UK61	DIP-49051N|uniprotkb:Q8NEY8	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:26022416|pubmed:DIP-17700S|pubmed:26022416|pubmed:DIP-17700S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-199602E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-47494N|uniprotkb:O75154	DIP-42267N|uniprotkb:Q9UBF8	 -	-	-	-	MI:0096(pull down)	-	pubmed:24876499|pubmed:DIP-17715S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199613E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59907N|uniprotkb:P28324	DIP-49N|refseq:NP_003122|uniprotkb:P11831	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7854423|pubmed:DIP-17817S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-199872E	dip-quality-status:core	dip:0004(small scale)		-
DIP-582N|refseq:NP_000312|uniprotkb:P06400	DIP-60265N|uniprotkb:P25977	 -	-	-	-	MI:0096(pull down)	-	pubmed:7877691|pubmed:DIP-17824S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-199874E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24196N|uniprotkb:P23804	DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	-	-	-	MI:0096(pull down)	-	pubmed:7791904|pubmed:DIP-17826S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-199876E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61763N|refseq:NP_000184|uniprotkb:Q15465	DIP-61762N|uniprotkb:Q90693	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:8906794|pubmed:DIP-17830S	taxid:9606(Homo sapiens)	taxid:9031(Gallus gallus)	MI:0915(physical association)	MI:0465(dip)	DIP-199888E	dip-quality-status:core	dip:0004(small scale)		-
DIP-6223N|refseq:NP_066961|uniprotkb:Q12933	DIP-6223N|refseq:NP_066961|uniprotkb:Q12933	-	-	-	-	MI:0018(two hybrid)	-	pubmed:9020361|pubmed:DIP-17834S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-199891E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44806N|refseq:NP_001216|uniprotkb:P49662	DIP-61775N|refseq:NP_001159709|uniprotkb:P57764	 -	-	-	-	MI:0435(protease assay)	-	pubmed:26375003|pubmed:DIP-17847S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0570(protein cleavage)	MI:0465(dip)	DIP-199909E	dip-quality-status:core	dip:0004(small scale)		-
